scenario,variant,m,n,scheme,baseline_outcome,baseline_total_happiness,baseline_mean_happiness,total_coalitions,max_coalition_size_changes_winner,fraction_coalitions_change_winner,avg_coalition_gain,total_responses,fraction_manip_with_response,avg_sequence_length,fraction_sequences_restore,total_options_under_uncertainty,avg_expected_gain,fraction_robust_options,avg_regret,total_multi_voter_scenarios,fraction_all_benefit,fraction_some_hurt,avg_happiness_change,nash_equilibria_count,time_seconds,note
sv_poll_0_small.abif,atva1,4,41,plurality,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,9.536127042,
sv_poll_0_small.abif,atva2,4,41,plurality,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.6992615420000003,
sv_poll_0_small.abif,atva3,4,41,plurality,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,0.0,0.0,10,0.19999999999999984,0.0,0.0,0,0.0,0.0,0.0,0,0.07480295800000114,
sv_poll_0_small.abif,atva4,4,41,plurality,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,295200,0.0,0.0,0.0,0,11.264760459,
sv_poll_0_small.abif,atva1,4,41,vote_for_two,2,86.0,2.097560975609756,90,3,0.0078397212543554,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,121.032501083,
sv_poll_0_small.abif,atva2,4,41,vote_for_two,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,8.954533792000007,
sv_poll_0_small.abif,atva3,4,41,vote_for_two,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,0.0,0.0,5,0.20000000000000018,0.0,4.440892098500626e-16,0,0.0,0.0,0.0,0,0.1321011250000197,
sv_poll_0_small.abif,atva4,4,41,vote_for_two,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3696560,0.0,0.011969506784686303,-0.16757309498560824,0,176.884696417,
sv_poll_0_small.abif,atva1,4,41,anti_plurality,2,86.0,2.097560975609756,38079,3,0.29486062717770034,2.047267355982275,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,124.66235912500002,
sv_poll_0_small.abif,atva2,4,41,anti_plurality,2,86.0,2.097560975609756,0,0,0.0,0.0,1140,0.16802168021680217,1.6720867208672088,0.989159891598916,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,8.419696292000026,
sv_poll_0_small.abif,atva3,4,41,anti_plurality,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,0.0,0.0,30,0.30666666666666675,0.0,0.1466666666666668,0,0.0,0.0,0.0,0,0.13251999999999953,
sv_poll_0_small.abif,atva4,4,41,anti_plurality,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3696560,0.0020667864176423484,0.08051377496916051,-1.1562187547341312,0,173.570427375,
sv_poll_0_small.abif,atva1,4,41,borda,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,125.21158904100002,
sv_poll_0_small.abif,atva2,4,41,borda,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,9.290792083000042,
sv_poll_0_small.abif,atva3,4,41,borda,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,0.0,0.0,4,0.19999999999999996,0.0,0.04999999999999999,0,0.0,0.0,0.0,0,0.13198541700000987,
sv_poll_0_small.abif,atva4,4,41,borda,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3696560,0.0,0.00033003657454498236,-0.004620512043629753,0,167.93308183299996,
sv_poll_11_large.abif,atva1,8,10,plurality,4,44.0,4.4,1116,3,0.30303030303030304,2.84,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.8283392910000202,
sv_poll_11_large.abif,atva2,8,10,plurality,4,44.0,4.4,0,0,0.0,0.0,100,0.2,1.2,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.07810262500004228,
sv_poll_11_large.abif,atva3,8,10,plurality,4,44.0,4.4,0,0,0.0,0.0,0,0.0,0.0,0.0,15,1.2000000000000002,0.0,0.2666666666666668,0,0.0,0.0,0.0,0,0.008913582999980463,
sv_poll_11_large.abif,atva4,8,10,plurality,4,44.0,4.4,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3645,0.04197530864197531,0.9555555555555556,-4.987654320987654,0,0.06849129199997606,
sv_poll_11_large.abif,atva1,8,10,vote_for_two,2,40.0,4.0,10211,3,0.7878787878787878,5.1923076923076925,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.523153332999982,
sv_poll_11_large.abif,atva2,8,10,vote_for_two,2,40.0,4.0,0,0,0.0,0.0,419,0.5923076923076923,2.8461538461538463,0.46153846153846156,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.565741375000016,
sv_poll_11_large.abif,atva3,8,10,vote_for_two,2,40.0,4.0,0,0,0.0,0.0,0,0.0,0.0,0.0,16,0.6500000000000001,0.0625,0.03749999999999998,0,0.0,0.0,0.0,0,0.022095167000088622,
sv_poll_11_large.abif,atva4,8,10,vote_for_two,2,40.0,4.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,165165,0.002972784790966609,0.34401961674688947,0.8073623346350619,0,2.9889585419999776,
sv_poll_11_large.abif,atva1,8,10,anti_plurality,3,39.0,3.9,36151,3,0.8545454545454545,5.595744680851064,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.595162165999909,
sv_poll_11_large.abif,atva2,8,10,anti_plurality,3,39.0,3.9,0,0,0.0,0.0,1515,0.9230769230769231,4.6923076923076925,0.6230769230769231,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.43374437500006024,
sv_poll_11_large.abif,atva3,8,10,anti_plurality,3,39.0,3.9,0,0,0.0,0.0,0,0.0,0.0,0.0,17,1.5058823529411764,0.23529411764705882,0.3058823529411768,0,0.0,0.0,0.0,0,0.02234241700000439,
sv_poll_11_large.abif,atva4,8,10,anti_plurality,3,39.0,3.9,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,165165,0.040389913117185844,0.6662670662670662,-1.8878939242575605,0,3.000858583000081,
sv_poll_11_large.abif,atva1,8,10,borda,7,48.0,4.8,16241,3,0.5696969696969697,3.9148936170212765,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.565315209000005,
sv_poll_11_large.abif,atva2,8,10,borda,7,48.0,4.8,0,0,0.0,0.0,940,0.823076923076923,4.1461538461538465,0.5538461538461539,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.49016962500002137,
sv_poll_11_large.abif,atva3,8,10,borda,7,48.0,4.8,0,0,0.0,0.0,0,0.0,0.0,0.0,5,1.16,0.2,0.5600000000000002,0,0.0,0.0,0.0,0,0.021886042000005546,
sv_poll_11_large.abif,atva4,8,10,borda,7,48.0,4.8,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,165165,0.0032391850573668755,0.7521387703205885,-5.423842823842824,0,3.0409488750000264,
sv_poll_14_large.abif,atva1,11,7,plurality,4,59.0,8.428571428571429,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.03854558399996222,
sv_poll_14_large.abif,atva2,11,7,plurality,4,59.0,8.428571428571429,0,0,0.0,0.0,0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.031216874999927313,
sv_poll_14_large.abif,atva3,11,7,plurality,4,59.0,8.428571428571429,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.005191832999912549,
sv_poll_14_large.abif,atva4,11,7,plurality,4,59.0,8.428571428571429,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1134,0.0,0.0,0.0,0,0.01878070899999784,
sv_poll_14_large.abif,atva1,11,7,vote_for_two,4,59.0,8.428571428571429,121,3,0.26785714285714285,2.4,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.303699583000025,
sv_poll_14_large.abif,atva2,11,7,vote_for_two,4,59.0,8.428571428571429,0,0,0.0,0.0,105,0.5446428571428571,2.1339285714285716,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.3741759590000129,
sv_poll_14_large.abif,atva3,11,7,vote_for_two,4,59.0,8.428571428571429,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.016086916999938694,
sv_poll_14_large.abif,atva4,11,7,vote_for_two,4,59.0,8.428571428571429,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,100156,0.0,0.3650305523383522,-6.218828627341347,0,1.589999832999979,
sv_poll_14_large.abif,atva1,11,7,anti_plurality,0,49.0,7.0,15652,3,0.7678571428571429,6.441860465116279,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.3887225419999822,
sv_poll_14_large.abif,atva2,11,7,anti_plurality,0,49.0,7.0,0,0,0.0,0.0,1770,0.9375,4.482142857142857,0.08928571428571429,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.32147650000001704,
sv_poll_14_large.abif,atva3,11,7,anti_plurality,0,49.0,7.0,0,0,0.0,0.0,0,0.0,0.0,0.0,17,2.3529411764705883,0.5882352941176471,0.17647058823529407,0,0.0,0.0,0.0,0,0.01663191700004063,
sv_poll_14_large.abif,atva4,11,7,anti_plurality,0,49.0,7.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,100156,0.05430528375733855,0.7034326450736851,-7.167548624146332,0,1.660297165999964,
sv_poll_14_large.abif,atva1,11,7,borda,4,59.0,8.428571428571429,451,3,0.3392857142857143,3.3157894736842106,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.3018632499999967,
sv_poll_14_large.abif,atva2,11,7,borda,4,59.0,8.428571428571429,0,0,0.0,0.0,163,0.49107142857142855,2.7142857142857144,0.8839285714285714,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.3241997080000374,
sv_poll_14_large.abif,atva3,11,7,borda,4,59.0,8.428571428571429,0,0,0.0,0.0,0,0.0,0.0,0.0,1,0.39999999999999947,0.0,0.40000000000000036,0,0.0,0.0,0.0,0,0.015975709000031202,
sv_poll_14_large.abif,atva4,11,7,borda,4,59.0,8.428571428571429,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,100156,1.9968848596189943e-05,0.35750229641758857,-5.828727185590479,0,1.6369166250000262,
sv_poll_16_large.abif,atva1,10,7,plurality,7,32.0,4.571428571428571,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.02917833399999381,
sv_poll_16_large.abif,atva2,10,7,plurality,7,32.0,4.571428571428571,0,0,0.0,0.0,0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.03145825000001423,
sv_poll_16_large.abif,atva3,10,7,plurality,7,32.0,4.571428571428571,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.005263833000071827,
sv_poll_16_large.abif,atva4,10,7,plurality,7,32.0,4.571428571428571,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1134,0.0,0.0,0.0,0,0.01914745800002038,
sv_poll_16_large.abif,atva1,10,7,vote_for_two,2,41.0,5.857142857142857,2219,3,0.6607142857142857,4.837837837837838,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0070481669999936,
sv_poll_16_large.abif,atva2,10,7,vote_for_two,2,41.0,5.857142857142857,0,0,0.0,0.0,164,0.4,2.4761904761904763,0.6761904761904762,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.27051699999992707,
sv_poll_16_large.abif,atva3,10,7,vote_for_two,2,41.0,5.857142857142857,0,0,0.0,0.0,0,0.0,0.0,0.0,2,0.1999999999999993,0.0,0.1999999999999993,0,0.0,0.0,0.0,0,0.01445904199999859,
sv_poll_16_large.abif,atva4,10,7,vote_for_two,2,41.0,5.857142857142857,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,80444,0.001267962806424345,0.32009845358261646,-1.1947938938889164,0,1.2612845419999985,
sv_poll_16_large.abif,atva1,10,7,anti_plurality,0,37.0,5.285714285714286,28970,3,0.8214285714285714,6.6521739130434785,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0846012499999915,
sv_poll_16_large.abif,atva2,10,7,anti_plurality,0,37.0,5.285714285714286,0,0,0.0,0.0,1560,0.9333333333333333,4.714285714285714,0.6952380952380952,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.271126957999968,
sv_poll_16_large.abif,atva3,10,7,anti_plurality,0,37.0,5.285714285714286,0,0,0.0,0.0,0,0.0,0.0,0.0,20,3.1100000000000003,0.8,0.1600000000000003,0,0.0,0.0,0.0,0,0.014995124999927611,
sv_poll_16_large.abif,atva4,10,7,anti_plurality,0,37.0,5.285714285714286,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,80444,0.0561011386803242,0.6548779275023618,0.4414375217542638,0,1.2773864159998993,
sv_poll_16_large.abif,atva1,10,7,borda,4,47.0,6.714285714285714,5434,3,0.5714285714285714,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.015374583000039,
sv_poll_16_large.abif,atva2,10,7,borda,4,47.0,6.714285714285714,0,0,0.0,0.0,615,0.9047619047619048,4.504761904761905,0.6952380952380952,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.2805437909999,
sv_poll_16_large.abif,atva3,10,7,borda,4,47.0,6.714285714285714,0,0,0.0,0.0,0,0.0,0.0,0.0,12,0.6999999999999994,0.25,0.23333333333333353,0,0.0,0.0,0.0,0,0.014705750000075568,
sv_poll_16_large.abif,atva4,10,7,borda,4,47.0,6.714285714285714,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,80444,0.010330167569986575,0.7776216995674009,-6.598540599671821,0,1.2613573749999887,
sv_poll_1_small.abif,atva1,5,7,plurality,1,16.0,2.2857142857142856,414,3,0.35714285714285715,2.45,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.02259049999997842,
sv_poll_1_small.abif,atva2,5,7,plurality,1,16.0,2.2857142857142856,0,0,0.0,0.0,50,0.2857142857142857,1.2857142857142858,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.02513854199992238,
sv_poll_1_small.abif,atva3,5,7,plurality,1,16.0,2.2857142857142856,0,0,0.0,0.0,0,0.0,0.0,0.0,5,1.2000000000000002,0.0,0.7999999999999998,0,0.0,0.0,0.0,0,0.003939042000070003,
sv_poll_1_small.abif,atva4,5,7,plurality,1,16.0,2.2857142857142856,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1134,0.03968253968253968,0.9523809523809523,-0.9920634920634921,0,0.015319750000003296,
sv_poll_1_small.abif,atva1,5,7,vote_for_two,1,16.0,2.2857142857142856,1299,3,0.5178571428571429,2.5172413793103448,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.20094804199993632,
sv_poll_1_small.abif,atva2,5,7,vote_for_two,1,16.0,2.2857142857142856,0,0,0.0,0.0,78,0.21428571428571427,1.5714285714285714,0.5142857142857142,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.09983329199997115,
sv_poll_1_small.abif,atva3,5,7,vote_for_two,1,16.0,2.2857142857142856,0,0,0.0,0.0,0,0.0,0.0,0.0,2,0.30000000000000004,0.0,0.10000000000000009,0,0.0,0.0,0.0,0,0.007822791000080542,
